ts,t_rel_s,event,phase,fps,cpu,rss_mb,cache_count,cache_mb,init_ms,reset_ms,gameover_ms
1761496676.185232,0.0006369999999833453,S1_start,S1_start,0.0,0.0,0.0,0,0.0,,,
1761496676.207993,0.023397499999987303,init_done,init_startup,0.0,0.0,0.0,35,0.05092620849609375,22.5967919999448,,
1761496676.2552478,0.07065370800000892,,play,14.285714285714285,86.8,138.919936,35,0.0534,,,
1761496677.274286,1.0896996660000013,,play,25.73987425568037,13.1,141.950976,35,0.0534,,,
1761496679.192885,3.008308665999948,,play,7.826577960307471,5.5,141.80352,35,0.0534,,,
1761496680.2105448,4.025975000000017,,play,24.193697986047667,7.0,141.934592,35,0.0534,,,
1761496681.2264981,5.041933624999956,,play,28.20131239247533,7.8,142.344192,35,0.0534,,,
1761496682.2455602,6.061003082999946,,play,29.16113480442222,13.8,142.45888,35,0.0534,,,
1761496683.2673862,7.08283466599994,,play,28.749997457074997,11.2,158.777344,35,0.0534,,,
1761496684.286665,8.102121041000032,,play,29.27694919855752,11.6,158.84288,36,0.0546,,,
1761496685.304151,9.119614124999998,,play,29.427084347461324,13.2,158.875648,41,0.0606,,,
1761496686.322197,10.137665999999967,,play,29.45349932466265,14.9,159.203328,41,0.0606,,,
1761496687.342794,11.158268749999934,,play,29.4440317589529,14.7,159.236096,41,0.0606,,,
1761496688.359093,12.174573749999922,,play,29.48316050292883,12.1,159.465472,41,0.0606,,,
1761496689.3744042,13.189891624999973,,play,29.543167510094214,12.6,159.465472,41,0.0606,,,
1761496690.391677,14.207169375000035,,play,29.554624666374114,13.1,159.465472,41,0.0606,,,
1761496691.408277,15.223776583000017,,play,29.520379341349308,13.4,159.481856,41,0.0606,,,
1761496692.4252212,16.24072641600003,,play,29.485313602362847,13.2,160.055296,41,0.0606,,,
1761496693.446461,17.261973291000004,,play,29.418476481350783,11.8,160.055296,41,0.0606,,,
1761496694.4649742,18.28049083299993,,play,29.425101011361303,13.2,160.038912,41,0.0606,,,
1761496695.4833012,19.29882550000002,,play,29.446399715092966,8.7,160.038912,41,0.0606,,,
