ts,t_rel_s,event,phase,fps,cpu,rss_mb,cache_count,cache_mb,init_ms,reset_ms,gameover_ms
1761497895.6664598,0.00033541599987074733,S1_start,S1_start,0.0,0.0,0.0,0,0.0,,,
1761497895.685815,0.019690124999897307,init_done,init_startup,0.0,0.0,0.0,0,0.0,19.257874999993874,,
1761497895.7554188,0.0892953329998818,,play,11.363636363636365,69.2,141.524992,0,0.0,,,
1761497896.771768,1.1056518329999108,,play,25.056048018027834,11.4,144.113664,0,0.0,,,
1761497897.7890828,2.1229734999999437,,play,28.401914070525795,8.9,144.162816,0,0.0,,,
1761497898.808934,3.1428316659998927,,play,29.18292659655942,11.7,144.211968,0,0.0,,,
1761497899.828037,4.161940791000006,,play,29.383377446558306,11.5,144.244736,0,0.0,,,
1761497900.850253,5.184162499999957,,play,28.065055099171058,22.7,160.350208,0,0.0,,,
1761497901.867022,6.200939541000025,,play,29.175203266624198,11.8,160.39936,0,0.0,,,
1761497902.8862898,7.220214540999905,,play,29.385003096726095,12.8,160.432128,0,0.0,,,
1761497903.906844,8.240774832999932,,play,29.41968239215945,13.8,160.710656,0,0.0,,,
1761497904.926083,9.260020457999872,,play,29.460347673264295,12.9,160.874496,0,0.0,,,
1761497905.945337,10.279280665999977,,play,29.423578321778358,13.2,160.907264,0,0.0,,,
1761497906.9654222,11.29937300000006,,play,29.414637348869377,12.5,160.907264,0,0.0,,,
1761497907.9840078,12.317965791000006,,play,29.442872040498596,13.1,161.120256,0,0.0,,,
1761497909.003968,13.33793295800001,,play,29.46771398791906,13.8,161.103872,0,0.0,,,
1761497910.0240278,14.357999000000063,,play,29.424465747175702,13.0,161.398784,0,0.0,,,
1761497911.0431201,15.377096749999964,,play,29.43321972899573,13.7,161.415168,0,0.0,,,
1761497912.0641558,16.39814037499991,,play,29.40472467465541,13.3,161.415168,0,0.0,,,
1761497913.08543,17.419421666000062,,play,29.382757703537106,12.8,160.989184,0,0.0,,,
1761497914.1044679,18.438466040999856,,play,29.42957743980829,11.9,161.005568,0,0.0,,,
1761497915.124181,19.45818541599988,,play,29.41488503039228,13.9,161.431552,0,0.0,,,
1761497915.601915,19.935922124999934,S1_end_reset_done,S1_end_reset_done,29.413377649575068,13.9,161.431552,0,,,0.2246669998839934,
1761497916.1441221,20.478134374999854,,play,29.41252345565038,12.4,161.431552,0,0.0,,,
1761497917.164165,21.498183916000016,,play,29.411949206311284,11.1,161.431552,0,0.0,,,
1761497918.184426,22.51845166599992,,play,29.411809569696103,13.5,161.431552,0,0.0,,,
1761497919.204941,23.538973333000058,,play,29.42639069179527,12.4,161.431552,0,0.0,,,
1761497920.22409,24.558129207999855,,play,29.419483701883546,13.0,161.431552,0,0.0,,,
1761497921.24415,25.578195040999844,,play,29.413641685794754,13.1,161.431552,0,0.0,,,
1761497922.261527,26.595579790999864,,play,29.49534287606376,10.8,161.431552,0,0.0,,,
1761497923.279339,27.61339758300005,,play,29.45397155885802,13.5,161.431552,0,0.0,,,
1761497924.297763,28.63182879099986,,play,29.460734278523073,13.4,161.480704,0,0.0,,,
1761497925.317245,29.651317832999894,,play,29.40992989081342,13.6,161.46432,0,0.0,,,
1761497926.3358111,30.669890458000054,,play,29.452255393712903,11.7,161.46432,0,0.0,,,
1761497927.3553998,31.689485957999977,,play,29.40089913318037,12.9,161.497088,0,0.0,,,
1761497928.376308,32.71040095800004,,play,29.389891154805905,14.3,161.480704,0,0.0,,,
1761497929.3994188,33.73351820799985,,play,29.351953809135694,14.5,161.480704,0,0.0,,,
1761497930.419225,34.75333095799988,,play,29.3972208647249,13.9,161.480704,0,0.0,,,
1761497931.441695,35.775812332999976,,play,29.36145306317422,12.6,161.480704,0,0.0,,,
1761497932.461007,36.7951270829999,,play,29.399530738834226,13.5,161.529856,0,0.0,,,
1761497933.481515,37.81564174999994,,play,29.408789848738394,12.7,161.595392,0,0.0,,,
1761497934.4995599,38.83369362500002,,play,29.452699296605054,14.6,161.579008,0,0.0,,,
1761497935.520227,39.85436699999991,,play,29.39170875864227,14.1,161.595392,0,0.0,,,
1761497936.5365949,40.870741040999974,,play,29.477527330220024,15.1,161.595392,0,0.0,,,
1761497937.5559208,41.89007425,,play,29.402066129995063,14.4,161.54624,0,0.0,,,
1761497938.582828,42.91698849999989,,play,29.279660067530642,15.4,161.54624,0,0.0,,,
1761497939.602048,43.936214832999894,,play,29.379641648365123,13.3,161.54624,0,0.0,,,
1761497940.622792,44.9569657909999,,play,29.403953543177316,14.4,161.54624,0,0.0,,,
1761497941.6426392,45.976819750000004,,play,29.409865314369824,14.0,161.54624,0,0.0,,,
1761497942.661212,46.99539916599997,,play,29.442199644885246,12.9,161.54624,0,0.0,,,
1761497943.682805,48.016999208000016,,play,29.402116979411165,12.4,161.54624,0,0.0,,,
1761497944.701229,49.03543070799992,,play,29.436157062429242,10.4,161.54624,0,0.0,,,
1761497944.769887,49.10408733300005,S2_end_reset_done,S2_end_reset_done,29.433962697350847,10.4,161.54624,0,,,0.14912500000718865,
1761497945.7232242,50.057431791,,play,29.379357084959334,10.4,161.54624,0,0.0,,,
1761497946.743653,51.0778674579999,,play,29.38580873758561,11.0,161.54624,0,0.0,,,
1761497947.765329,52.09954962500001,,play,29.363543857753918,11.8,161.54624,0,0.0,,,
1761497948.7836192,53.117847457999915,,play,29.4452969135113,11.9,161.54624,0,0.0,,,
1761497949.797441,54.131676083,,play,29.542516047170096,12.3,161.54624,0,0.0,,,
1761497950.816347,55.150588208000045,,play,29.456461568180227,14.0,161.54624,0,0.0,,,
1761497951.834949,56.16919695799993,,play,29.431571463646204,12.9,161.54624,0,0.0,,,
1761497952.8528,57.18705562499986,,play,29.45058832744016,11.6,161.54624,0,0.0,,,
1761497953.8725061,58.20676783299996,,play,29.433485046722794,12.4,161.54624,0,0.0,,,
1761497954.8887749,59.22304254100004,,play,29.465590402385235,12.4,161.562624,0,0.0,,,
1761497955.910573,60.24484770799995,,play,29.374496416372015,12.7,161.54624,0,0.0,,,
1761497956.930349,61.264631249999866,,play,29.414112903794198,13.4,161.808384,0,0.0,,,
1761497957.9497101,62.28399850000005,,play,29.42519526574461,12.5,161.808384,0,0.0,,,
1761497958.967477,63.30177337500004,,play,29.46864137624258,13.3,161.808384,0,0.0,,,
1761497959.98631,64.32061166599988,,play,29.46475399012191,13.8,161.808384,0,0.0,,,
1761497961.006282,65.340590583,,play,29.424649778251208,12.4,161.808384,0,0.0,,,
1761497962.025491,66.35980641599986,,play,29.441677334736227,12.5,161.808384,0,0.0,,,
1761497963.044291,67.37861341600001,,play,29.42469472916224,13.1,161.808384,0,0.0,,,
1761497964.0628579,68.39718712499985,,play,29.426468578210258,13.1,161.808384,0,0.0,,,
1761497965.082727,69.41706291599985,,play,29.414008882184067,13.0,161.808384,0,0.0,,,
1761497966.101536,70.43553900000006,,play,29.469722159417987,12.6,161.841152,0,0.0,,,
1761497967.123113,71.4546714999999,,play,29.451847217095732,13.8,161.824768,0,0.0,,,
1761497968.14376,72.47302949999994,,play,29.47856898872637,15.9,161.824768,0,0.0,,,
1761497969.165542,73.49266487499995,,play,29.436061634479675,14.6,161.398784,0,0.0,,,
1761497970.188004,74.51311479099991,,play,29.377864651454903,15.0,161.71008,0,0.0,,,
1761497971.2084138,75.53164304100005,,play,29.434273157076323,15.7,162.185216,0,0.0,,,
1761497972.2314959,76.55295754100007,,play,29.40554446562558,13.5,162.2016,0,0.0,,,
1761497973.2507782,77.570589875,,play,29.463159437599103,13.8,162.2016,0,0.0,,,
1761497974.2705238,78.58878908299994,,play,29.453449422911685,14.0,162.2016,0,0.0,,,
1761497975.291574,79.60838745799992,,play,29.428372397129788,15.2,162.2016,0,0.0,,,
1761497976.310508,80.62596462500005,,play,29.487113847332573,15.6,162.234368,0,0.0,,,
1761497977.333385,81.64756483299993,,play,29.408495354719765,15.4,162.791424,0,0.0,,,
1761497978.3551,82.66808566600002,,play,29.377894781721096,13.4,162.791424,0,0.0,,,
1761497979.375045,83.68691208299992,,play,29.428163972059327,13.4,162.791424,0,0.0,,,
1761497980.394721,84.70554037500006,,play,29.441834490538845,15.3,162.791424,0,0.0,,,
1761497981.415592,85.72542862499995,,play,29.44467965374343,14.2,162.791424,0,0.0,,,
1761497982.4356968,86.74461399999996,,play,29.452786090658925,13.8,162.791424,0,0.0,,,
1761497983.4551492,87.763203041,,play,29.482006244495604,12.8,162.791424,0,0.0,,,
