ts,t_rel_s,event,phase,fps,cpu,rss_mb,cache_count,cache_mb,init_ms,reset_ms,gameover_ms
1760042393.4683897,0.12651679999908083,init_done,init_startup,0.0,0.0,0.0,0,0.0,125.56910000057542,,
1760042393.4748704,0.13309899999876507,,play,7.751937984496124,33.2,55.607296,0,0.0,,,
1760042394.5070417,1.1645724999998492,,play,24.668173054833552,0.0,55.996416,0,0.0,,,
1760042395.5095274,2.167231899999024,,play,28.651183406303105,0.0,55.996416,0,0.0,,,
1760042396.5161805,3.17379819999951,,play,29.51724442890596,3.1,56.025088,0,0.0,,,
1760042397.5224395,4.180046199999197,,play,29.753508576348516,3.1,56.025088,0,0.0,,,
1760042398.531275,5.1887557999998535,,play,29.738782871139634,0.0,56.025088,0,0.0,,,
1760042399.5379798,6.196175999999468,,play,29.777108946039185,3.1,57.2416,0,0.0,,,
1760042400.5414362,7.199058700000023,,play,29.87339369077845,0.0,57.348096,0,0.0,,,
1760042401.5459466,8.203575600000477,,play,29.853645760757725,0.0,57.352192,0,0.0,,,
1760042402.549926,9.207607399999688,,play,29.888865492038374,6.2,57.389056,0,0.0,,,
1760042403.5505989,10.208290299999135,,play,29.982987404460424,6.2,57.389056,0,0.0,,,
1760042404.5572348,11.214737299998887,,play,29.873301898652265,0.0,57.46688,0,0.0,,,
1760042405.5634005,12.220944700000473,,play,29.854583389872314,6.1,57.442304,0,0.0,,,
1760042406.5709167,13.228482200000144,,play,29.797808818709747,3.1,57.495552,0,0.0,,,
1760042407.5759337,14.233486600000106,,play,29.797617412374642,3.1,57.442304,0,0.0,,,
1760042408.5783784,15.236047099999269,,play,29.908187855583407,0.0,57.495552,0,0.0,,,
1760042409.5788846,16.2365135,,play,29.95045938688129,6.2,57.442304,0,0.0,,,
1760042410.5799706,17.23762910000005,,play,29.968633386286456,6.2,57.434112,0,0.0,,,
1760042411.5847373,18.242406199999095,,play,29.886644087087777,0.0,57.434112,0,0.0,,,
1760042412.5901554,19.24783690000004,,play,29.851265265141315,9.1,57.434112,0,0.0,,,
1760042413.5997744,20.257480199999918,,play,29.758939150222147,3.1,57.434112,0,0.0,,,
1760042414.6039238,21.261631999999736,,play,29.84075316839016,0.0,57.434112,0,0.0,,,
1760042415.609298,22.266973399999188,,play,29.849918680441448,0.0,57.434112,0,0.0,,,
1760042416.6134508,23.271032900000137,,play,29.85880845668456,3.1,57.483264,0,0.0,,,
1760042417.6148841,24.2725262999993,,play,29.923865241093967,0.0,57.483264,0,0.0,,,
1760042418.6228037,25.28034099999968,,play,29.781109969688604,3.0,57.46688,0,0.0,,,
